"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"1",131.111111111111,-131.111111111111,68.8888888888889,-68.8888888888889,20200,19800,10
"2",-172.222222222222,172.222222222222,-19827.7777777778,19827.7777777778,0,40000,9
"3",-830.606060606061,830.60606060606,-19169.3939393939,19169.3939393939,0,40000,9
"4",-384.040404040404,384.040404040404,-19615.9595959596,19615.9595959596,0,40000,9
"5",1353.75454545455,-1353.75454545455,3203.24545454545,-3203.24545454545,24557,15443,10
"6",-97.8787878787879,97.8787878787879,-2.12121212121212,2.12121212121212,19900,20100,5
"7",42.6262626262626,-42.6262626262626,57.3737373737374,-57.3737373737374,20100,19900,4
"8",45.8585858585859,-45.8585858585859,54.1414141414141,-54.1414141414141,20100,19900,4
"9",-77.2727272727273,77.2727272727273,-22.7272727272727,22.7272727272727,19900,20100,7
"10",-100,100,-900,900,19000,21000,10
"11",-1227.27272727273,1246.87272727273,-18772.7272727273,18753.1272727273,0,40000,7
"12",100,-100,-20100,20100,0,40000,9
"13",-89.0909090909091,89.0909090909091,-10.9090909090909,10.9090909090909,19900,20100,5
"14",-100,100,0,0,19900,20100,9
"15",-321.868686868687,321.868686868687,-1703.13131313131,1703.13131313131,17975,22025,10
"16",-247.070707070707,247.070707070707,-202.929292929293,202.929292929293,19550,20450,10
"17",-100,100,0,0,19900,20100,9
"18",-23.2323232323232,23.2323232323233,-276.767676767677,276.767676767677,19700,20300,7
"19",32.5252525252525,-32.5252525252525,67.4747474747475,-67.4747474747475,20100,19900,4
"20",-76.4646464646464,76.4646464646465,-123.535353535354,123.535353535354,19800,20200,7
"21",-71.7,71.7,-28.3,28.3,19900,20100,3
"22",-93.7373737373737,93.7373737373737,-6.26262626262626,6.26262626262626,19900,20100,5
"23",-100,100,0,0,19900,20100,10
"24",100,-100,0,0,20100,19900,10
"25",234.545454545455,-234.545454545455,-20234.5454545455,20234.5454545455,0,40000,9
"26",-100,100,0,0,19900,20100,7
"27",-48.2828282828283,48.2828282828283,-51.7171717171717,51.7171717171717,19900,20100,5
"28",-65.1515151515152,65.1515151515152,-34.8484848484848,34.8484848484848,19900,20100,5
"29",111.111111111111,-111.111111111111,6488.88888888889,-6488.88888888889,26600,13400,10
"30",300,-300,600,-600,20900,19100,10
"31",-39.7979797979798,39.7979797979798,-60.2020202020202,60.2020202020202,19900,20100,5
"32",-71.5151515151515,71.5151515151515,-28.4848484848485,28.4848484848485,19900,20100,5
"33",100,-100,1400,-1400,21500,18500,10
"34",73.1313131313131,-73.1313131313131,26.8686868686869,-26.8686868686869,20100,19900,4
"35",-100,100,0,0,19900,20100,10
"36",-127.272727272727,127.272727272727,-772.727272727273,772.727272727273,19100,20900,10
"37",-188.080808080808,188.080808080808,-111.919191919192,111.919191919192,19700,20300,10
"38",-4813.95555555556,4813.95555555555,-10564.0444444444,10564.0444444444,4622,35378,10
"39",-100,100,-200,200,19700,20300,10
"40",106.262626262626,-106.262626262626,-20106.2626262626,20106.2626262626,0,40000,9
"41",100,-100,0,0,20100,19900,10
"42",223.434343434343,-223.434343434343,2776.56565656566,-2776.56565656566,23000,17000,10
"43",100,-100,200,-200,20300,19700,10
"44",100,-100,3200,-3200,23300,16700,10
"45",100,-100,0,0,20100,19900,10
"46",100,-100,400,-400,20500,19500,6
"47",-54.5454545454545,54.5454545454545,-45.4545454545455,45.4545454545455,19900,20100,7
"48",2890.29898989899,-2890.29898989899,4798.70101010101,-4798.70101010101,27689,12311,10
"49",-1178,1178,-1100,1100,17722,22278,10
"50",-100,100,0,0,19900,20100,9
"51",-100,100,0,0,19900,20100,10
"52",97.7777777777778,-97.7777777777778,2.22222222222221,-2.22222222222221,20100,19900,4
"53",304.242424242424,-289.475757575758,1495.75757575758,-1510.52424242424,21800,18200,10
"54",-154.545454545455,154.545454545455,-14545.4545454545,14545.4545454545,5300,34700,10
"55",-309.090909090909,309.090909090909,-590.909090909091,590.909090909091,19100,20900,10
"56",-100,100,0,0,19900,20100,10
"57",302.323232323232,-302.323232323232,1497.67676767677,-1497.67676767677,21800,18200,10
"58",3.5527136788005e-15,-3.5527136788005e-15,-20000,20000,0,40000,9
"59",93.1818181818182,-93.1818181818182,6.81818181818183,-6.81818181818183,20100,19900,6
"60",-100,100,0,0,19900,20100,9
"61",-50,50,-50,50,19900,20100,7
"62",100,-72.3666666666667,200,-227.633333333333,20300,19700,6
"63",-91.3131313131313,91.3131313131313,-8.68686868686868,8.68686868686868,19900,20100,5
"64",-7704.99797979798,7704.99797979798,-12295.002020202,12295.002020202,0,40000,9
"65",1574.74747474748,-1574.74747474748,-21574.7474747475,21574.7474747475,0,40000,9
"66",-224.545454545455,224.545454545455,-375.454545454545,375.454545454545,19400,20600,10
"67",-900.8,900.8,-3655.2,3655.2,15444,24556,10
"68",28.0808080808081,-28.0808080808081,71.9191919191919,-71.9191919191919,20100,19900,4
"69",-100,100,0,0,19900,20100,10
"70",-70.3030303030303,70.3030303030303,-29.6969696969697,29.6969696969697,19900,20100,5
"71",100,-100,1400,-1400,21500,18500,10
"72",-38.5666666666667,38.5666666666667,-61.4333333333333,61.4333333333333,19900,20100,3
"73",-100,100,-300,300,19600,20400,10
"74",143.636363636364,-143.636363636364,456.363636363636,-456.363636363636,20600,19400,10
"75",154.545454545455,-154.545454545455,745.454545454545,-745.454545454545,20900,19100,10
"76",-68.0808080808081,68.0808080808081,-31.9191919191919,31.9191919191919,19900,20100,5
"77",307.525252525252,-307.525252525252,1942.47474747475,-1942.47474747475,22250,17750,10
"78",148.989898989899,-148.989898989899,51.010101010101,-51.010101010101,20200,19800,10
"79",188.336363636364,-188.336363636364,-20188.3363636364,20188.3363636364,0,40000,7
"80",-109.090909090909,109.090909090909,-19890.9090909091,19890.9090909091,0,40000,9
"81",-100,100,-800,800,19100,20900,10
"82",-100,100,0,0,19900,20100,9
"83",-91.7171717171717,91.7171717171717,-8.28282828282829,8.28282828282829,19900,20100,5
"84",454.545454545455,-454.545454545455,445.454545454545,-445.454545454545,20900,19100,10
"85",-2704.38181818182,2704.38181818182,-7547.61818181818,7547.61818181818,9748,30252,10
"86",-47.8787878787879,47.8787878787879,-152.121212121212,152.121212121212,19800,20200,7
"87",221.818181818182,-221.818181818182,778.181818181818,-778.181818181818,21000,19000,10
"88",1055.55555555555,-1055.55555555555,-21055.5555555556,21055.5555555556,0,40000,9
"89",-100,100,0,0,19900,20100,10
"90",-28.0808080808081,28.0808080808081,-71.9191919191919,71.9191919191919,19900,20100,5
"91",-5176.67878787879,5176.67878787879,-14823.3212121212,14823.3212121212,0,40000,9
"92",-173.535353535354,173.535353535354,-126.464646464646,126.464646464646,19700,20300,10
"93",96.4646464646464,-96.4646464646464,-20096.4646464646,20096.4646464646,0,40000,5
"94",354.343434343434,-354.343434343434,-20354.3434343434,20354.3434343434,0,40000,9
"95",-2461.21212121212,2461.21212121212,-17538.7878787879,17538.7878787879,0,40000,9
"96",100,-100,-200,200,19900,20100,9
"97",-36.5656565656566,36.5656565656566,-63.4343434343434,63.4343434343434,19900,20100,5
"98",100,-100,0,0,20100,19900,8
"99",-240.40404040404,240.40404040404,-359.59595959596,359.59595959596,19400,20600,10
"100",-100,100,-200,200,19700,20300,10
"101",-100,100,0,0,19900,20100,9
"102",136.767676767677,-123.50101010101,-20136.7676767677,20123.501010101,0,40000,9
"103",40.9090909090909,-40.9090909090909,-140.909090909091,140.909090909091,19900,20100,7
"104",18.1818181818182,-18.1818181818182,-118.181818181818,118.181818181818,19900,20100,7
"105",50,-50,-150,150,19900,20100,7
"106",100,-100,0,0,20100,19900,10
"107",-100,100,-200,200,19700,20300,10
"108",118.181818181818,-118.181818181818,-20118.1818181818,20118.1818181818,3.63797880709171e-12,40000,9
"109",100,-100,200,-200,20300,19700,10
"110",-114.343434343434,114.343434343434,-19885.6565656566,19885.6565656566,0,40000,7
"111",100,-100,200,-200,20300,19700,10
"112",-100,100,-200,200,19700,20300,10
"113",100,-100,200,-200,20300,19700,10
"114",-100,100,0,0,19900,20100,10
"115",100,-100,0,0,20100,19900,8
"116",-62.6262626262626,62.6262626262626,-37.3737373737374,37.3737373737374,19900,20100,5
"117",-100,100,0,0,19900,20100,10
"118",34.7333333333333,-34.7333333333333,65.2666666666667,-65.2666666666667,20100,19900,2
"119",-63.6363636363636,63.6363636363636,-36.3636363636364,36.3636363636364,19900,20100,7
"120",-100,100,0,0,19900,20100,7
"121",-34.9494949494949,34.9494949494949,-19965.0505050505,19965.0505050505,0,40000,5
"122",-82.3232323232323,82.3232323232323,-17.6767676767677,17.6767676767677,19900,20100,5
"123",100,-100,0,0,20100,19900,10
"124",60.8333333333333,-50,39.1666666666667,-50,20100,19900,2
"125",86.3636363636364,-86.3636363636363,-186.363636363636,186.363636363636,19900,20100,7
"126",187.777777777778,-187.777777777778,-20187.7777777778,20187.7777777778,0,40000,7
"127",-53.9393939393939,53.9393939393939,-46.0606060606061,46.0606060606061,19900,20100,5
"128",450.066666666667,-450.066666666667,-20450.0666666667,20450.0666666667,0,40000,9
"129",-103.030303030303,103.030303030303,-2596.9696969697,2596.9696969697,17300,22700,10
"130",100,-100,0,0,20100,19900,10
"131",40.1010101010101,-40.1010101010101,59.8989898989899,-59.8989898989899,20100,19900,4
"132",69.1919191919192,-69.1919191919192,30.8080808080808,-30.8080808080808,20100,19900,4
"133",108.282828282828,-108.282828282828,-20108.2828282828,20108.2828282828,0,40000,7
"134",92.9292929292929,-92.9292929292929,7.07070707070707,-7.07070707070707,20100,19900,4
"135",-1064.82424242424,1064.82424242424,-1971.17575757576,1971.17575757576,16964,23036,10
"136",-1490.4,1490.4,-18509.6,18509.6,0,40000,9
"137",26.2626262626263,-26.2626262626263,73.7373737373737,-73.7373737373737,20100,19900,4
"138",52.5252525252525,-52.5252525252525,47.4747474747475,-47.4747474747475,20100,19900,4
"139",-45.8585858585859,45.8585858585859,-54.1414141414141,54.1414141414141,19900,20100,5
"140",72.7272727272727,-72.7272727272727,-172.727272727273,172.727272727273,19900,20100,7
"141",-431.818181818182,431.818181818182,-2568.18181818182,2568.18181818182,17000,23000,10
"142",974.69696969697,-974.69696969697,1050.30303030303,-1050.30303030303,22025,17975,10
"143",163.636363636364,-163.636363636364,136.363636363636,-136.363636363636,20300,19700,8
"144",-84.0909090909091,84.0909090909091,-15.9090909090909,15.9090909090909,19900,20100,7
"145",100,-100,200,-200,20300,19700,10
"146",737.171717171717,-737.171717171717,3462.82828282828,-3462.82828282828,24200,15800,10
"147",-3171.91919191919,3171.91919191919,-16828.0808080808,16828.0808080808,0,40000,9
"148",1564.72727272727,-1564.72727272727,3495.27272727273,-3495.27272727273,25060,14940,10
"149",100,-100,0,0,20100,19900,10
"150",-3.5527136788005e-15,3.5527136788005e-15,-100,100,19900,20100,7
"151",600.30303030303,-600.30303030303,5399.69696969697,-5399.69696969697,26000,14000,10
"152",-36.3636363636363,36.3636363636363,-263.636363636364,263.636363636364,19700,20300,9
"153",-248.282828282828,248.282828282828,48.2828282828283,-48.2828282828283,19800,20200,10
"154",-53.7373737373737,53.7373737373737,-46.2626262626263,46.2626262626263,19900,20100,5
"155",76.1616161616162,-76.1616161616162,23.8383838383838,-23.8383838383838,20100,19900,4
"156",100,-100,1400,-1400,21500,18500,10
"157",100,-100,0,0,20100,19900,10
"158",1601.0101010101,-1601.0101010101,14898.9898989899,-14898.9898989899,36500,3500,10
"159",100,-100,200,-200,20300,19700,10
"160",2151.01414141414,-2151.01414141414,2974.98585858586,-2974.98585858586,25126,14874,10
"161",52.5252525252525,-52.5252525252525,47.4747474747475,-47.4747474747475,20100,19900,4
"162",-100.606060606061,100.606060606061,-2599.39393939394,2599.39393939394,17300,22700,10
"163",-100,100,0,0,19900,20100,10
"164",-45.4545454545455,45.4545454545455,-54.5454545454545,54.5454545454545,19900,20100,7
"165",-100,100,-200,200,19700,20300,10
"166",100,-100,0,0,20100,19900,10
"167",118.181818181818,-118.181818181818,2581.81818181818,-2581.81818181818,22700,17300,10
"168",65.8585858585859,-65.8585858585859,34.1414141414141,-34.1414141414141,20100,19900,4
"169",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,20100,19900,4
"170",100,-100,200,-200,20300,19700,10
"171",-271.313131313131,271.313131313131,71.3131313131313,-71.3131313131313,19800,20200,10
"172",-88.6868686868687,88.6868686868687,-11.3131313131313,11.3131313131313,19900,20100,5
"173",-49.4333333333333,49.4333333333333,-50.5666666666667,50.5666666666667,19900,20100,3
"174",2815.35353535354,-2815.35353535354,-22815.3535353535,22815.3535353535,0,40000,9
"175",-100,100,-19900,19900,0,40000,9
"176",71.3131313131313,-71.3131313131313,28.6868686868687,-28.6868686868687,20100,19900,4
"177",-108.888888888889,108.888888888889,-2591.11111111111,2591.11111111111,17300,22700,10
"178",-326.464646464646,326.464646464646,-573.535353535354,573.535353535353,19100,20900,10
"179",-100,100,0,0,19900,20100,10
"180",100,-100,200,-200,20300,19700,10
"181",65.4545454545455,-65.4545454545455,34.5454545454545,-34.5454545454545,20100,19900,4
"182",67.979797979798,-67.979797979798,32.020202020202,-32.020202020202,20100,19900,4
"183",100,-100,0,0,20100,19900,10
"184",-107.272727272727,107.272727272727,-19892.7272727273,19892.7272727273,0,40000,9
"185",776.169696969697,-776.169696969697,235.830303030303,-235.830303030303,21012,18988,10
"186",70.7070707070707,-70.7070707070707,29.2929292929293,-29.2929292929293,20100,19900,4
"187",-90.9090909090909,90.9090909090909,-9.09090909090908,9.09090909090908,19900,20100,7
"188",-136.363636363636,136.363636363636,-763.636363636364,763.636363636364,19100,20900,10
"189",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300,10
"190",85.4545454545454,-85.4545454545454,14.5454545454546,-14.5454545454546,20100,19900,4
"191",100,-100,0,0,20100,19900,10
"192",100,-100,200,-200,20300,19700,10
"193",-1847.87878787879,1847.87878787879,-18152.1212121212,18152.1212121212,0,40000,9
"194",-2665.65656565657,2665.65656565657,-17334.3434343434,17334.3434343434,0,40000,9
"195",-60.9090909090909,60.9090909090909,-39.0909090909091,39.0909090909091,19900,20100,5
"196",-552.315151515151,552.315151515151,-2483.68484848485,2483.68484848485,16964,23036,10
"197",256.969696969697,-256.969696969697,1543.0303030303,-1543.0303030303,21800,18200,10
"198",594.242424242424,-594.242424242424,9530.75757575758,-9530.75757575758,30125,9875,10
"199",-99.3939393939394,99.3939393939394,-0.60606060606061,0.60606060606061,19900,20100,5
"200",100,-94.4666666666667,0,-5.53333333333335,20100,19900,10
"201",-65.8585858585859,65.8585858585859,-34.1414141414141,34.1414141414141,19900,20100,5
"202",-30.1666666666667,30.1666666666667,-69.8333333333333,69.8333333333333,19900,20100,3
"203",-111.515151515152,111.515151515152,-19888.4848484848,19888.4848484848,0,40000,7
"204",-53.9393939393939,53.9393939393939,-46.0606060606061,46.0606060606061,19900,20100,5
"205",97.7777777777778,-97.0777777777778,2.22222222222221,-2.92222222222222,20100,19900,4
"206",72.7272727272727,-72.7272727272727,-172.727272727273,172.727272727273,19900,20100,7
"207",1892.27272727273,-1892.27272727273,12957.7272727273,-12957.7272727273,34850,5150,10
"208",605.454545454545,-605.454545454545,3894.54545454545,-3894.54545454545,24500,15500,10
"209",100,-100,0,0,20100,19900,10
"210",-100,100,-200,200,19700,20300,10
"211",92.3232323232323,-92.3232323232323,7.67676767676768,-7.67676767676768,20100,19900,4
"212",-43.3333333333333,43.3333333333333,-56.6666666666667,56.6666666666667,19900,20100,5
"213",-100,100,0,0,19900,20100,10
"214",-59.6883838383838,59.6883838383844,-19940.3116161616,19940.3116161616,0,40000,7
"215",100,-100,200,-200,20300,19700,10
"216",384.646464646465,-384.646464646465,-20384.6464646465,20384.6464646465,0,40000,7
"217",-73.1313131313131,73.1313131313131,-26.8686868686869,26.8686868686869,19900,20100,5
"218",-100,100,0,0,19900,20100,10
"219",-100,100,0,0,19900,20100,10
"220",515.454545454545,-481.521212121212,-20515.4545454545,20481.5212121212,0,40000,9
"221",-93.7373737373737,93.7373737373737,-6.26262626262626,6.26262626262626,19900,20100,5
"222",-100,100,0,0,19900,20100,7
"223",100,-100,0,0,20100,19900,10
"224",-43.4343434343434,43.4343434343434,-56.5656565656566,56.5656565656566,19900,20100,5
"225",0,0,-20000,20000,0,40000,9
"226",-1515.9595959596,1515.9595959596,-18484.0404040404,18484.0404040404,0,40000,9
"227",-3.5527136788005e-15,3.5527136788005e-15,0,0,20000,20000,10
"228",75.5555555555555,-75.5555555555555,124.444444444444,-124.444444444444,20200,19800,6
"229",100,-100,0,0,20100,19900,10
"230",-319.545454545455,319.545454545455,-1705.45454545455,1705.45454545455,17975,22025,10
"231",100,-100,200,-200,20300,19700,10
"232",-241.414141414141,241.414141414141,-1108.58585858586,1108.58585858586,18650,21350,10
"233",-102.020202020202,103.720202020202,-2597.9797979798,2596.2797979798,17300,22700,10
"234",45.2525252525253,-45.2525252525253,54.7474747474747,-54.7474747474747,20100,19900,4
"235",181.212121212121,-181.212121212121,418.787878787879,-418.787878787879,20600,19400,10
"236",54.5454545454545,-54.5454545454545,-154.545454545455,154.545454545455,19900,20100,7
"237",100,-100,3500,-3500,23600,16400,10
"238",-100,102.366666666667,0,-2.36666666666667,19900,20100,10
"239",-181.818181818182,181.818181818182,-118.181818181818,118.181818181818,19700,20300,10
"240",231.818181818182,-231.818181818182,68.1818181818182,-68.1818181818182,20300,19700,10
"241",356.313131313131,-356.313131313131,993.686868686869,-993.686868686869,21350,18650,10
"242",154.545454545455,-154.545454545455,745.454545454545,-745.454545454545,20900,19100,10
"243",100,-100,0,0,20100,19900,8
"244",-102.626262626263,102.626262626263,-97.3737373737374,97.3737373737374,19800,20200,7
"245",100,-100,-20100,20100,0,40000,9
"246",-100,100,-200,200,19700,20300,10
"247",100,-100,0,0,20100,19900,10
"248",62.8282828282828,-62.8282828282828,37.1717171717172,-37.1717171717172,20100,19900,4
"249",41.010101010101,-41.010101010101,58.989898989899,-58.989898989899,20100,19900,4
"250",100,-100,0,0,20100,19900,10
"251",-100,100,0,0,19900,20100,10
"252",-100,100,0,0,19900,20100,10
"253",31.7666666666667,-31.7666666666667,68.2333333333333,-68.2333333333333,20100,19900,2
"254",-100,100,0,0,19900,20100,10
"255",-100,100,0,0,19900,20100,10
"256",-747.866666666667,747.866666666667,-3809.13333333333,3809.13333333333,15443,24557,10
